cupping_id,total_cup_points,grading_date,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,moisture,category_one_defects,quakers,category_two_defects
0001,90.58,2015-04-04,8.67,8.83,8.67,8.75,8.5,8.42,10,10,10,8.75,0.12,0,0,0
0002,89.92,2015-04-04,8.75,8.67,8.5,8.58,8.42,8.42,10,10,10,8.58,0.12,0,0,1
0003,89.75,2010-05-31,8.42,8.5,8.42,8.42,8.33,8.42,10,10,10,9.25,0,0,0,0
0004,89,2015-03-26,8.17,8.58,8.42,8.42,8.5,8.25,10,10,10,8.67,0.11,0,0,2
0005,88.83,2015-04-04,8.25,8.5,8.25,8.5,8.42,8.33,10,10,10,8.58,0.12,0,0,2
0006,88.83,,8.58,8.42,8.42,8.5,8.25,8.33,10,10,10,8.33,0.11,0,0,1
0007,88.75,2012-09-17,8.42,8.5,8.33,8.5,8.25,8.25,10,10,10,8.5,0.11,0,0,0
0008,88.67,,8.25,8.33,8.5,8.42,8.33,8.5,10,10,9.33,9,0.03,0,0,0
0009,88.42,,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10,9.33,8.67,0.03,0,0,0
0010,88.25,2015-03-30,8.08,8.58,8.5,8.5,7.67,8.42,10,10,10,8.5,0.1,0,0,4
0011,88.08,2015-03-27,8.17,8.67,8.25,8.5,7.75,8.17,10,10,10,8.58,0.1,0,0,1
0012,87.92,2015-03-13,8.25,8.42,8.17,8.33,8.08,8.17,10,10,10,8.5,0,0,0,0
0013,87.92,2015-03-13,8.08,8.67,8.33,8.42,8,8.08,10,10,10,8.33,0,0,0,0
0014,87.92,2010-05-31,8.33,8.42,8.08,8.25,8.25,8,10,10,10,8.58,0,0,0,2
0015,87.83,2010-08-31,8.25,8.33,8.5,8.25,8.58,8.75,9.33,10,9.33,8.5,0.05,0,0,2
0016,87.58,2015-03-13,8,8.5,8.58,8.17,8.17,8,10,10,10,8.17,0,0,0,0
0017,87.42,2010-05-31,8.33,8.25,7.83,7.75,8.5,8.42,10,10,10,8.33,0.03,0,0,0
0018,87.33,2010-06-16,8.17,8.33,8.25,8.33,8.42,8.33,9.33,10,9.33,8.83,0.05,0,0,2
0019,87.25,2016-04-07,8.42,8.25,8.08,8.17,7.92,8,10,10,10,8.42,0.1,0,0,0
