coffee_bean_id,country_of_origin,expiration,region,harvest_year,variety,species_id,method_id
0001,Ethiopia,April 3rd  2016,guji-hambela,2014,NA,0001,0001
0002,Ethiopia,April 3rd  2016,guji-hambela,2014,Other,0001,0001
0003,Guatemala,May 31st  2011,NA,NA,Bourbon,0001,0002
0004,Ethiopia,March 25th  2016,oromia,2014,NA,0001,0003
0005,Brazil,September 3rd  2014,NA,2013,NA,0001,0003
0006,Peru,September 17th  2013,NA,2012,Other,0001,0001
0007,Ethiopia,September 2nd  2011,oromia,2010,NA,0001,0002
0008,Ethiopia,March 29th  2016,snnp/kaffa zone gimbowereda,2014,Other,0001,0003
0009,Ethiopia,March 26th  2016,oromia,2014,NA,0001,0003
0010,United States,March 12th  2016,antioquia,2014,Other,0001,0001
0011,United States (Hawaii),May 31st  2011,kona,2009,NA,0001,0002
0012,Ethiopia,August 31st  2011,oromia,2010,NA,0001,0002
0013,Indonesia,May 31st  2011,sulawesi,,NA,0001,0002
0014,Ethiopia,June 16th  2011,yirgacheffe,2009,NA,0001,0002
0015,China,April 7th  2017,yunnan,2015,Catimor,0001,0001
0016,Ethiopia,March 24th  2016,gedio,2014,Ethiopian Yirgacheffe,0001,0003
0017,Costa Rica,April 2nd  2015,san ramon,2014,Caturra,0001,0001
0018,Mexico,July 26th  2013,xalapa,2012,Other,0001,0001
0019,Ethiopia,September 3rd  2014,sidamo,2013,NA,0001,0003
0020,Brazil,December 2nd  2012,south of minas,2011,Bourbon,0001,0003
0021,Ethiopia,June 16th  2011,sidamo,2009,NA,0001,0002
0022,Uganda,June 26th  2015,kapchorwa eastern,2013,SL14,0001,0001
0023,Honduras,May 18th  2018,comayagua,2016,Caturra,0001,0002
0024,Taiwan,May 18th  2017,leye  alishan township  chiayi county,2015,Sumatra,0001,0004
0025,Nicaragua,May 18th  2011,NA,NA,NA,0001,0002
0026,Tanzania  United Republic Of,September 3rd  2014,NA,2012,NA,0001,0003
0027,Brazil,December 2nd  2012,vale da grama,2011,Bourbon,0001,0003
0028,Costa Rica,December 2nd  2016,west and central valley,2015,Caturra,0001,0001
0029,Kenya,May 30th  2015,muranga,2013,SL34,0001,0001
0030,United States (Hawaii),April 6th  2013,kona,2012,Hawaiian Kona,0001,0003
0031,United States (Hawaii),January 28th  2012,kona,2010,NA,0001,0002
0032,Ethiopia,June 17th  2011,yirgacheffe,2009,NA,0001,0002
0033,Thailand,April 12th  2013,chiang rai,2012,Caturra,0001,0001
0034,Brazil,January 4th  2012,sul de minas - carmo de minas,2010,Yellow Bourbon,0001,0002
0035,Taiwan,June 9th  2016,natou county,2015,Bourbon,0001,0005
0036,Kenya,January 29th  2016,nyeri,2014,SL28,0001,0003
0037,Brazil,December 2nd  2012,south of minas,2011,Bourbon,0001,0005
0038,Uganda,October 1st  2015,eastern uganda,2014,NA,0001,0005
0039,Colombia,March 20th  2015,tolima,2013,Caturra,0001,0001
0040,Kenya,February 6th  2015,kiambu,2013,SL28,0001,0001
0041,Uganda,February 12th  2013,sipi  mt elgon,2012,Other,0001,0001
0042,Ethiopia,June 17th  2011,sidamo,2009,NA,0001,0002
0043,Guatemala,May 16th  2017,nuevo oriente,2016,Bourbon,0001,0001
0044,Uganda,June 30th  2015,eastern,2013,SL14,0001,0003
0045,Colombia,July 26th  2014,huila,2013,Caturra,0001,0001
0046,Panama,October 9th  2018,boquete,2017,Gesha,0001,0001
0047,Ethiopia,April 3rd  2016,oromia,2014,NA,0001,0001
0048,Guatemala,July 3rd  2013,acatenango,2012,Bourbon,0001,0001
0049,Guatemala,June 5th  2013,nuevo oriente,2012,Catuai,0001,0001
0050,Ethiopia,June 23rd  2018,addis ababa,2017,Caturra,0001,0003
0051,Peru,January 22nd  2015,cajamarca,2013,NA,0001,0001
0052,Papua New Guinea,October 25th  2013,eastern highlands province,2012,NA,0001,0001
0053,El Salvador,March 18th  2014,apaneca,2013,Bourbon,0001,0001
0054,El Salvador,January 12th  2014,ataco  apaneca - ilamatepec mountain range,2012,Bourbon,0001,0005
0055,Panama,May 22nd  2016,boquete,2014,Caturra,0001,0003
0056,Kenya,May 22nd  2016,kirinyaga,2014,SL28,0001,0003
0057,Ethiopia,March 30th  2016,oromia,2015,Other,0001,0003
0058,Uganda,June 26th  2015,bulambuli eastern region,2013,SL14,0001,0001
0059,Guatemala,February 26th  2014,huehuetenango,2013,Bourbon,0001,0001
0060,Ethiopia,March 30th  2016,oromia,2015,NA,0001,0001
0061,Uganda,June 26th  2015,kapchorwa,2013,SL14,0001,0001
0062,El Salvador,May 31st  2011,apaneca,2009,NA,0001,0002
0063,China,April 6th  2017,yunnan,2015,Catimor,0001,0003
0064,Guatemala,May 22nd  2016,huehuetenango,2014,Pacamara,0001,0003
0065,Costa Rica,May 1st  2015,west valley,2014,Caturra,0001,0001
0066,Costa Rica,May 1st  2015,san ramon,2014,Caturra,0001,0001
0067,Kenya,April 19th  2014,central kenya,2012,SL34,0001,0001
0068,Kenya,March 12th  2014,central kenya,2012,SL34,0001,0001
0069,Ethiopia,June 17th  2011,yirgacheffe,2009,Typica,0001,0002
0070,Guatemala,April 27th  2017,oriente,2016,Bourbon,0001,0002
0071,Colombia,April 7th  2016,santander,2015,Caturra,0001,0001
0072,Colombia,January 17th  2015,santander,2014,Caturra,0001,0003
0073,Indonesia,November 26th  2013,lintong,2012,Sumatra Lintong,0001,0005
0074,Guatemala,January 17th  2013,huehuetenango,2012,Caturra,0001,0001
0075,Ethiopia,August 9th  2017,kefa zone  gimbo distict  at a place called woka araba  south west ethiopia.,2016,Other,0001,0003
0076,Colombia,August 17th  2016,pasto,2015,Caturra,0001,0003
0077,Ethiopia,October 7th  2015,aricha,2014,NA,0001,0003
0078,United States (Hawaii),March 10th  2015,kona,2014,Hawaiian Kona,0001,0003
0079,Colombia,March 16th  2013,cundinamarca,2012,Caturra,0001,0003
0080,United States (Hawaii),December 27th  2011,kona,2010,NA,0001,0002
0081,Ethiopia,June 17th  2011,sidamo,2010,NA,0001,0002
0082,United States (Hawaii),May 17th  2011,kona,NA,NA,0001,0002
