roaster_id,producer
0001,Metad Plc
0002,Na
0003,Yidnekachew Dabessa Coffee Plantation
0004,Hvc
0005,Bazen Agricultural & Industrial Dev't Plc
0006,Diamond Enterprise Plc
0007,Fahem Coffee Plantation
0008,Alfredo De Jesús López Pérez
0009,Jorge Walter Restrepo
0010,Robert  Sharon  Arianna Wood
0011,María Leticia Diosa
0012,P.T. Toarco Jaya
0013,Green Gold Ethiopia
0014,Echo Coffee
0015,Levelup
0016,Nicolás Rueda Urrego
0017,Several
0018,Roberto Licona Franco
0019,Silvia Elena Higuita
0020,Ralph Junqueira
0021,Kabum Trading Company
0022,Reinerio Zepeda
0023,Fang Zheng-lun 方政倫
0024,Homero Texeira De Macedo Junior
0025,Exclusive Coffees S.A.
0026,Haider Abamecha Abadiko
0027,Kangunu
0028,Kona Pacific Farmers Co-op
0029,Ato Teshome Belamo
0030,Hugo Sepúlveda Montoya
0031,Itdp
0032,Maria Rogeria Costa Pereira
0033,Lin Yen Chien 林言謙
0034,Jungle Estate
0035,Kaasay Farmer Group
0036,Kawacom
0037,Sidama Coffee Farmers Coop. Union
0038,Hula Daddy Kona Coffee
0039,Margarita Avila De Nuyens
0040,Kawacom (U)Ltd
0041,Plinio Ruiz
0042,Ibrahim Hussien Specialty Coffee Producer And Exporter
0043,Sertrasa
0044,William Estuardo Martinez Pacheco
0045,Seid Damtew Coffee Export And Plantation
0046,Colbran Coffeelands  Ltd.
0047,Aida Batlle
0048,Oscar Roberto Murgas Linares
0049,Lamastus
0050,Assefa Belay Coffee Producer
0051,Kyagalanyi Coffee Ltd
0052,Asociacion De Permacultores De Cuilco (Santos Lopez Mejia)
0053,Chesiyo Farmer Group
0054,José Vagner Ribeiro Junqueira
0055,J. Hill Y Cia Sa De Cv
0056,Pu'er City Longke Coffee Co.Ltd
0057,Arturo Aguirre
0058,Cafe Altura De San Ramon
0059,Kianjogu - Rutuma F.C.S. Ltd.
0060,Blend From Various Producers
0061,Egziabhez Mezgebe  Gmt Industrial Plc
0062,Hailu Gebre Hiwot
0063,Varios
0064,Coop. Hoja Blanca - Fedecocagua
0065,Seid Damtew Coffee Planation
0066,Jose Albeiro Gomez / Luis Jaber Realpe
0067,Bnt
0068,Orlando Ortiz /Wilson Ortiz/Gilberto Acosta
0069,Kona Pacific Farmers Cooperative
0070,Muluneh Kaka
0071,La Plata
0072,Manuel Montero
0073,Varios Productores Minifundistas
0074,Idalina M. De Andrade Ferreira
0075,Finca Kassandra
0076,Federico Weller
0077,Su Chuen Shian 蘇春賢
0078,Hasambo Amcos
0079,Artemio Zapata Tejeda
0080,Glaucio Carneiro Pinto
0081,Ricardo Luiz Ferreira
0082,Wang Chao Yung 王超永
0083,Sipi Organic Coffee Project
0084,Matsuzawa Coffee
0085,Karatina
0086,Omar Acosta
0087,Several Producers
0088,Juan Alvaro Munguia
0089,J.J. Borja Nathan
0090,Pt. Shriya Artha Nusantara
0091,Taijiro Tokuda
0092,Johanna
0093,Juan Bock
0094,Coopetarrazú
0095,Moplaco
0096,Maria Elena Castro
0097,Coricafe Blend
0098,Gu Yong Long 古永龍
0099,Sasini
0100,Agropecuaria Quiagral
0101,Jorge Torres Beltran  Vicente Hernandez Ochoa  Ignacio Torres
0102,Cecanor
0103,Blend
0104,Roberto Monterroso
0105,Amilcar Lapola
0106,Changeru Wet Mill
0107,Geraldo Paixão
0108,Various
0109,Kawacom Uganda Ltd
0110,Menglian Ban’An Coffee Processing Factory
0111,Puer Jiangcheng Fuwang Coffee Biotechnology Co.  Ltd
0112,Luis Rodriguez
0113,Maria Imelda Uscanga Martinez
0114,Santiago Jose Arguello Campos
0115,Agricola Nueva Granada  S.A
0116,Mmm
0117,Beneficio San Diego
0118,Surbakti
0119,Franklin Dussan
0120,Kao Ming Lee
0121,Maria Amalia Guadalupe Toriello Elorza
0122,Mutheka
0123,Nahun Maldonado
0124,Franklin Dussan / Andres Rodriguez/Hipolito Torres
0125,Victor Hugo Melchor Cordova
0126,Lucia Maria Da Silva Dias
0127,Antônio Pelucio
0128,Oromia Coffee Farmers Cooperative Union
0129,Miguel Hernandez
0130,黃美桃 Huang Mei Tao
0131,Jose Albeiro Gomez
0132,Finca Medina
0133,Horacio Cifuentes Martinez
0134,Menglian County Nayun Town Mangzhang Coffee Farm
0135,Franklin Dussan/Andres Rodriguez/Hipolito Torres
0136,Tembo Coffee Company Ltd
0137,Taylor Winch (T) Ltd
0138,Jesus Salazar Velasco
0139,Manuel Herrera Juarez
0140,Ernst Pohlenz Aguilar
0141,Jorge Leal
0142,Los Angeles Micro-mill (Ricardo Calderón)
0143,Dary Colman Alvarado Villatoro
0144,Fernando Fahsen
0145,Chapultepec
0146,Cooperativa El Gorrion Rl
0147,Mauro Galheri
0148,Martin Gutierrez
0149,Tariku Oljira
0150,Selian Coffee Estate
0151,Café Do Paraíso
0152,Agricola Monte Verde  S.A.
0153,Anton Gayo
0154,Franklin Dussan / Hipolito Torres
0155,Chang Yu Liang 張玉良
0156,Asociacion De Productores De Cafe De La Region Ixil
0157,Andres Martinez Leon
0158,Kerchanshe Trading P.L.C
0159,Otoniel Villatoro Lopez
0160,Ipanema Coffees
0161,Blend Of Various Producers
0162,Doi Tung Development Project
0163,NA
0164,Ipanema Agricola S.A
0165,Cafes Tomari Sa De Cv
0166,Phatang  Saveg
0167,Ipanema Agricola
0168,Yang Teng Ko楊登嵙
0169,張瑞宏
0170,Oscar Ortega Carballo
0171,Arturo Lievano Moreno
0172,Coop
0173,鄭虞坪
0174,Ipanema Agrícola Sa
0175,Zeng Jian Nan 曾建男
0176,Sumeya Yasin
0177,Filemon Mendoza Campos
0178,Nazareth Dias Pereira
0179,Doi Chaang Community Enterprise Piko
0180,Karogoto
0181,曾如楓 & 郭俊宏 (Tseng Ju Feng & Kuo Jun Hong)
0182,Pu’Er Specialty Coffee Cupping Center
0183,Nile Highland Arabica Coffee Farmers
0184,Hacienda Alto Grande
0185,Martinez Magdalena  Agapita
0186,Several Producres
0187,Carlos Peneche/Jesus Peneche/Flor Chacón
0188,Nchoroiboro / Kiriani Factory
0189,Ronaldo Lacayo Cardenal
0190,Agrotello Coop
0191,Francisco Luis Martinez Lopez
0192,Huila
0193,Finca Quequesquez
0194,Juan Luis Ortega Carballo
0195,Pt. Perkebunan Nusantara Xii
0196,Siembras Vision  S.A
0197,Juan Ramirez Morales
0198,Menglian Mang Pan Professional Cooperative
0199,Exportadora Café California
0200,Bulamburi Coffee Farmers Association
0201,Gu Zhi Min 古智閔
0202,Julian Alberto Urrutia Moya
0203,Orlando Ortiz/Wilson Sanchez/Gilberto Acosta
0204,Alvaro Resende Aguiar
0205,Orlando Moreno / Willson Sanchez
0206,黑咖啡道王憲備
0207,Mecias Urbano / Yaniver Alvarez
0208,Mr & Mrs Damari Absalome
0209,Yusrin
0210,Debesa
0211,Unex
0212,Reynerio Zepeda
0213,Armando Gutierrez Guzman
0214,Gabriel Bernard Rivas Ross
