Number_Of_Bags,Bag_Weight_Number,Bag_Weight_Unit
300,60,Kg
5,1,
320,60,Kg
100,30,Kg
100,69,Kg
50,60,Kg
10,1,Kg
1,1,
1,2,Kg,Lbs
150,6,
3,60,Kg
250,60,Kg
250,3,Lbs
14,1,Kg
100,60,Kg
275,69,Kg
20,50,Kg
275,6,
29,60,Kg
250,2,Lbs
320,1,Kg
10,100,Lbs
25,100,Lbs
300,6,
53,1,Kg
10,15,Kg
12,60,Kg
7,60,Kg
1,60,Kg
1,2,Kg
1,1,Kg
1,2,
80,69,Kg
275,70,Kg
37,60,Kg
150,1,Kg
275,1,Kg
320,19200,Kg
280,5,Lbs
275,2,Kg
19,1,Kg
8,100,Lbs
16,60,Kg
250,69,Kg
150,60,Kg
5,60,Kg
2,1,Kg,Lbs
36,30,Kg
20,60,Kg
360,6,Kg
250,70,Kg
54,60,Kg
250,1,Kg
12,100,Lbs
13,100,Lbs
360,6,
27,0,Lbs
200,60,Kg
135,70,Kg
36,46,Kg
1,30,Kg
170,60,Kg
38,60,Kg
31,60,Kg
15,100,Lbs
243,70,Kg
252,70,Kg
20,40,Kg
134,60,Kg
50,70,Kg
25,1,Kg
4,60,Kg
10,60,Kg
10,20,Kg
14,100,Lbs
50,50,Kg
2,6,
150,69,Kg
2,1,Kg
20,1,Kg
15,69,Kg
120,34,Kg
50,1,Lbs
250,30,Kg
20,69,Kg
10,30,Kg
235,60,Kg
125,1,Kg
80,1,Kg
66,60,Kg
125,70,Kg
75,70,Kg
11,660,Kg
35,60,Kg
275,18975,Kg
200,12000,Kg
250,1,Lbs
56,1,Kg
27,60,Kg
200,30,Kg
304,35,Kg
2,2,Kg
5,100,Lbs
69,1,Kg
275,66,Kg
100,80,Kg
75,60,Kg
80,60,Kg
1,132,Lbs
250,1,
10,5,Kg
20,25,Kg
230,69,Kg
248,70,Kg
65,60,Kg
7,100,Lbs
50,69,Kg
377,69,Kg
130,69,Kg
305,59,Kg
320,69,Kg
275,5,Lbs
300,18000,Kg
200,70,Kg
300,1,Kg
275,150,Lbs
138,70,Kg
270,70,Kg
150,9000,Kg
200,69,Kg
45,40,Kg
226,70,Kg
48,1,Kg
167,30,Kg
320,2,Kg
8,18,Kg
300,2,Kg
1,5,Lbs
175,50,Kg
10,10,Kg
18,5,Lbs
100,70,Kg
4,1,
285,69,Kg
100,2,Lbs
3,100,Lbs
33,60,Kg
1,10,Kg
245,69,Kg
180,70,Kg
15,1,Kg
175,70,Kg
250,2,Kg
300,29,Kg
600,29,Kg
20,1218,Kg
500,25,Kg
39,60,Kg
4,1,Lbs
6,6,
130,70,Kg
10,2,Kg
200,1,Kg
2,4,Lbs
220,60,Kg
27,100,Lbs
29,46,Kg
275,0,Kg
11,2,Kg
26,69,Kg
11,100,Lbs
54,1,Kg
30,60,Kg
200,13800,Kg
250,1500,Kg
180,60,Kg
232,70,Kg
84,60,Kg
1,4,Lbs
6,100,Lbs
45,1,Kg
25,60,Kg
90,60,Kg
16,100,Lbs
50,30,Kg
310,60,Kg
325,60,Kg
25,70,Kg
305,2,Kg
17,5,Lbs
120,70,Kg
121,1,Kg
300,70,Kg
23,100,Lbs
1,1,Lbs
129,70,Kg
4,2,Kg
100,1,Kg
2,1,Lbs
27,50,Kg
3,2,Kg
100,24,Kg
40,1,Kg
25,69,Kg
8,10,Kg
10,80,Lbs
32,1,Kg
21,1,Kg
14,1,
60,50,Kg
8,8,Kg
93,60,Kg
77,60,Kg
11,1,Kg
288,1,Kg
36,1,Kg
23,1,Kg
37,100,Lbs
6,5,Kg
198,59,Kg
150,2,Kg
50,20,Kg
320,5,Lbs
50,1,Kg
70,1,Kg
42,60,Kg
69,60,Kg
28,1,Kg
245,1,
43,70,Kg
49,1,Kg
35,1,Kg
74,1,Kg
26,1,Kg
51,60,Kg
0,70,Kg
12,2,Kg
250,3,Kg
44,60,Kg
1062,5,Kg
180,2,Kg
149,70,Kg
30,80,Kg
60,60,Kg
80,10,Kg
60,1,Kg
275,350,Kg
4,100,Lbs
230,60,Kg
2,80,Kg
30,10,Kg
53,60,Kg
150,70,Kg
274,67,Kg
114,60,Kg
13,2,Kg
35,30,Kg
450,1,Kg
30,1,Kg
62,1,Kg
8,60,Kg
15,46,Kg
200,59,Kg
166,30,Kg
8,5,Kg
300,10,Kg
24,60,Kg
280,2,Kg
19,100,Lbs
302,1,Kg
58,60,Kg
30,0,Lbs
42,1,Kg
165,70,Kg
320,4,Kg
310,1,Kg
12,1,Kg
12,50,Kg
550,69,Kg
123,2,Kg
15,60,Kg
300,4,Lbs
5,30,Kg
50,80,Kg
16,1,
450,69,Kg
230,70,Kg
220,69,Kg
42,5,Kg
36,55,Lbs
20,20,Kg
17,60,Kg
500,60,Kg
2,100,Lbs
300,59,Kg
120,69,Kg
240,69,Kg
275,1,Lbs
3,1,Lbs
3,2,Lbs
160,1,Kg
240,1,Kg
94,60,Kg
20,5,Kg
18,1,Kg
440,59,Kg
60,69,Kg
22,100,Lbs
440,60,Kg
13,1,Kg
256,1,Kg
12,100,Kg
400,1,Kg
82,1,Kg
209,1,Kg
40,100,Lbs
75,2,Kg
28,50,Kg
380,1,Kg
253,1,Kg
5,1,Lbs
223,69,Kg
127,1,Kg
250,6,
280,69,Kg
16,1,Kg
120,1,Kg
11,2,Lbs
18,100,Lbs
16,2,Kg
202,70,Kg
100,10,Kg
9,2,Lbs
15,2,Kg
43,1,Kg
85,130,Lbs
100,2,Kg
140,2,Kg
6,60,Kg
