result_id,cupping_id,farm_id,roaster_id
0001,0001,0001,0001
0002,0002,0001,0001
0003,0003,0002,0002
0004,0004,0003,0003
0005,0005,0001,0001
0006,0006,0004,0002
0007,0007,0005,0004
0008,0008,0006,0005
0009,0009,0006,0005
0010,0010,0007,0006
0011,0011,0008,0007
0012,0012,0009,0008
0013,0013,0010,0009
0014,0014,0011,0010
0015,0015,0006,0005
0016,0016,0012,0011
0017,0017,0013,0012
0018,0018,0014,0013
0019,0019,0015,0014
0020,0020,0016,0015
0021,0021,0017,0016
0022,0022,0018,0017
0023,0023,0019,0018
0024,0024,0020,0019
0025,0025,0004,0002
0026,0026,0021,0020
0027,0027,0014,0013
0028,0028,0022,0021
0029,0029,0023,0022
0030,0030,0024,0023
0031,0031,0025,0002
0032,0032,0026,0002
0033,0033,0027,0024
0034,0034,0028,0025
0035,0035,0029,0026
0036,0036,0030,0027
0037,0037,0031,0002
0038,0038,0032,0028
0039,0039,0033,0029
0040,0040,0034,0030
0041,0041,0035,0031
0042,0042,0036,0032
0043,0043,0036,0032
0044,0044,0037,0033
0045,0045,0038,0034
0046,0046,0021,0020
0047,0047,0039,0035
0048,0048,0040,0002
0049,0049,0041,0002
0050,0050,0042,0036
0051,0051,0043,0037
0052,0052,0044,0038
0053,0053,0045,0039
0054,0054,0046,0040
0055,0055,0047,0002
0056,0056,0048,0041
0057,0057,0049,0042
0058,0058,0050,0043
0059,0059,0051,0044
0060,0060,0052,0045
0061,0061,0053,0002
0062,0062,0054,0046
0063,0063,0055,0047
0064,0064,0056,0048
0065,0065,0031,0002
0066,0066,0057,0049
0067,0067,0058,0002
0068,0068,0059,0050
0069,0069,0060,0051
0070,0070,0061,0052
0071,0071,0059,0050
0072,0072,0062,0053
0073,0073,0031,0002
0074,0074,0063,0054
0075,0075,0064,0055
0076,0076,0065,0056
0077,0077,0066,0057
0078,0078,0018,0058
0079,0079,0018,0017
0080,0080,0067,0059
0081,0081,0068,0060
0082,0082,0069,0061
0083,0083,0014,0062
0084,0084,0045,0039
0085,0085,0070,0063
0086,0086,0071,0002
0087,0087,0072,0002
0088,0088,0073,0064
0089,0089,0052,0065
0090,0090,0074,0066
0091,0091,0075,0067
0092,0092,0076,0002
0093,0093,0074,0068
0094,0094,0077,0069
0095,0095,0014,0070
0096,0096,0032,0002
0097,0097,0078,0051
0098,0098,0079,0071
0099,0099,0080,0072
0100,0100,0081,0073
0101,0101,0082,0002
0102,0102,0083,0002
0103,0103,0084,0074
0104,0104,0085,0075
0105,0105,0032,0002
0106,0106,0086,0076
0107,0107,0079,0071
0108,0108,0079,0071
0109,0109,0087,0077
0110,0110,0088,0078
0111,0111,0079,0071
0112,0112,0089,0079
0113,0113,0090,0080
0114,0114,0091,0081
0115,0115,0092,0002
0116,0116,0093,0082
0117,0117,0094,0083
0118,0118,0031,0002
0119,0119,0043,0037
0120,0120,0095,0037
0121,0121,0096,0084
0122,0122,0097,0085
0123,0123,0098,0086
0124,0124,0099,0087
0125,0125,0100,0088
0126,0126,0101,0089
0127,0127,0102,0090
0128,0128,0103,0091
0129,0129,0104,0092
0130,0130,0105,0093
0131,0131,0106,0094
0132,0132,0107,0095
0133,0133,0108,0096
0134,0134,0109,0097
0135,0135,0110,0002
0136,0136,0111,0098
0137,0137,0071,0002
0138,0138,0112,0099
0139,0139,0113,0100
0140,0140,0050,0043
0141,0141,0114,0101
0142,0142,0115,0002
0143,0143,0116,0102
0144,0144,0043,0037
0145,0145,0038,0034
0146,0146,0079,0002
0147,0147,0079,0071
0148,0148,0117,0103
0149,0149,0118,0104
0150,0150,0119,0105
0151,0151,0071,0002
0152,0152,0079,0071
0153,0153,0120,0106
0154,0154,0047,0002
0155,0155,0121,0002
0156,0156,0070,0063
0157,0157,0027,0024
0158,0158,0122,0107
0159,0159,0123,0108
0160,0160,0124,0109
0161,0161,0125,0110
0162,0162,0106,0094
0163,0163,0126,0002
0164,0164,0127,0111
0165,0165,0128,0112
0166,0166,0129,0002
0167,0167,0130,0113
0168,0168,0131,0114
0169,0169,0132,0115
0170,0170,0133,0116
0171,0171,0134,0002
0172,0172,0135,0117
0173,0173,0136,0118
0174,0174,0074,0119
0175,0175,0079,0071
0176,0176,0137,0120
0177,0177,0031,0002
0178,0178,0138,0121
0179,0179,0069,0061
0180,0180,0139,0122
0181,0181,0140,0123
0182,0182,0141,0002
0183,0183,0023,0022
0184,0184,0079,0002
0185,0185,0074,0124
0186,0186,0047,0002
0187,0187,0142,0125
0188,0188,0143,0126
0189,0189,0144,0127
0190,0190,0116,0128
0191,0191,0145,0129
0192,0192,0146,0130
0193,0193,0096,0084
0194,0194,0074,0131
0195,0195,0147,0132
0196,0196,0148,0133
0197,0197,0149,0134
0198,0198,0079,0071
0199,0199,0079,0071
0200,0200,0126,0002
0201,0201,0074,0135
0202,0202,0150,0136
0203,0203,0151,0137
0204,0204,0119,0105
0205,0205,0047,0002
0206,0206,0031,0002
0207,0207,0152,0138
0208,0208,0153,0139
0209,0209,0154,0140
0210,0210,0155,0002
0211,0211,0156,0141
0212,0212,0079,0071
0213,0213,0157,0142
0214,0214,0158,0143
0215,0215,0159,0144
0216,0216,0160,0145
0217,0217,0079,0071
0218,0218,0161,0146
0219,0219,0162,0147
0220,0220,0163,0148
0221,0221,0164,0149
0222,0222,0165,0150
0223,0223,0166,0002
0224,0224,0167,0002
0225,0225,0168,0002
0226,0226,0169,0151
0227,0227,0170,0152
0228,0228,0055,0047
0229,0229,0047,0002
0230,0230,0171,0044
0231,0231,0172,0002
0232,0232,0173,0153
0233,0233,0074,0154
0234,0234,0174,0155
0235,0235,0045,0039
0236,0236,0079,0071
0237,0237,0175,0156
0238,0238,0031,0002
0239,0239,0176,0157
0240,0240,0177,0002
0241,0241,0178,0002
0242,0242,0179,0158
0243,0243,0140,0123
0244,0244,0180,0159
0245,0245,0166,0002
0246,0246,0119,0105
0247,0247,0119,0105
0248,0248,0166,0002
0249,0249,0071,0002
0250,0250,0079,0071
0251,0251,0181,0002
0252,0252,0182,0160
0253,0253,0047,0002
0254,0254,0068,0161
0255,0255,0183,0162
0256,0256,0184,0163
0257,0257,0155,0002
0258,0258,0185,0002
0259,0259,0186,0164
0260,0260,0187,0165
0261,0261,0188,0166
0262,0262,0189,0167
0263,0263,0024,0023
0264,0264,0074,0154
0265,0265,0190,0002
0266,0266,0191,0168
0267,0267,0126,0002
0268,0268,0126,0002
0269,0269,0079,0071
0270,0270,0192,0169
0271,0271,0071,0002
0272,0272,0193,0170
0273,0273,0194,0171
0274,0274,0195,0172
0275,0275,0074,0131
0276,0276,0079,0071
0277,0277,0163,0148
0278,0278,0147,0132
0279,0279,0196,0173
0280,0280,0197,0174
0281,0281,0198,0175
0282,0282,0199,0176
0283,0283,0197,0174
0284,0284,0109,0063
0285,0285,0119,0105
0286,0286,0182,0160
0287,0287,0200,0002
0288,0288,0047,0002
0289,0289,0201,0104
0290,0290,0202,0177
0291,0291,0154,0140
0292,0292,0203,0178
0293,0293,0204,0179
0294,0294,0185,0002
0295,0295,0033,0029
0296,0296,0205,0180
0297,0297,0186,0164
0298,0298,0074,0154
0299,0299,0206,0181
0300,0300,0079,0071
0301,0301,0207,0182
0302,0302,0074,0119
0303,0303,0208,0183
0304,0304,0209,0184
0305,0305,0079,0071
0306,0306,0166,0002
0307,0307,0047,0002
0308,0308,0047,0002
0309,0309,0031,0002
0310,0310,0210,0185
0311,0311,0211,0186
0312,0312,0212,0187
0313,0313,0213,0002
0314,0314,0077,0002
0315,0315,0186,0164
0316,0316,0205,0188
0317,0317,0023,0022
0318,0318,0214,0189
0319,0319,0189,0167
0320,0320,0024,0023
0321,0321,0215,0002
0322,0322,0216,0162
0323,0323,0217,0190
0324,0324,0218,0191
0325,0325,0070,0002
0326,0326,0079,0192
0327,0327,0170,0152
0328,0328,0128,0112
0329,0329,0047,0002
0330,0330,0219,0193
0331,0331,0113,0100
0332,0332,0220,0194
0333,0333,0221,0195
0334,0334,0147,0196
0335,0335,0077,0002
0336,0336,0186,0164
0337,0337,0222,0197
0338,0338,0079,0071
0339,0339,0223,0198
0340,0340,0079,0071
0341,0341,0224,0199
0342,0342,0225,0015
0343,0343,0226,0200
0344,0344,0071,0002
0345,0345,0071,0002
0346,0346,0071,0002
0347,0347,0227,0201
0348,0348,0228,0071
0349,0349,0229,0202
0350,0350,0074,0203
0351,0351,0230,0204
0352,0352,0074,0205
0353,0353,0231,0206
0354,0354,0215,0148
0355,0355,0074,0207
0356,0356,0232,0039
0357,0357,0079,0071
0358,0358,0233,0208
0359,0359,0234,0209
0360,0360,0235,0210
0361,0361,0126,0002
0362,0362,0047,0002
0363,0363,0018,0211
0364,0364,0071,0002
0365,0365,0236,0212
0366,0366,0047,0002
0367,0367,0047,0002
0368,0368,0237,0139
0369,0369,0238,0213
0370,0370,0239,0214
0371,0371,0240,0215
0372,0372,0228,0071
0373,0373,0241,0216
0374,0374,0077,0002
0375,0375,0242,0195
0376,0376,0074,0154
0377,0377,0156,0141
0378,0378,0074,0217
0379,0379,0163,0148
0380,0380,0243,0218
0381,0381,0244,0219
0382,0382,0096,0084
0383,0383,0245,0220
0384,0384,0074,0135
0385,0385,0246,0221
0386,0386,0247,0222
0387,0387,0071,0002
0388,0388,0119,0105
0389,0389,0147,0223
0390,0390,0248,0104
0391,0391,0031,0002
0392,0392,0070,0224
0393,0393,0249,0002
0394,0394,0032,0028
0395,0395,0185,0162
0396,0396,0250,0225
0397,0397,0070,0108
0398,0398,0079,0002
0399,0399,0079,0071
0400,0400,0197,0174
0401,0401,0251,0226
0402,0402,0070,0063
0403,0403,0252,0227
0404,0404,0253,0228
0405,0405,0018,0017
0406,0406,0076,0002
0407,0407,0254,0097
0408,0408,0053,0002
0409,0409,0255,0229
0410,0410,0074,0230
0411,0411,0128,0112
0412,0412,0031,0002
0413,0413,0256,0002
0414,0414,0047,0231
0415,0415,0077,0002
0416,0416,0077,0002
0417,0417,0257,0232
0418,0418,0080,0072
0419,0419,0258,0233
0420,0420,0259,0234
0421,0421,0260,0109
0422,0422,0261,0002
0423,0423,0074,0119
0424,0424,0262,0235
0425,0425,0037,0033
0426,0426,0263,0236
0427,0427,0071,0002
0428,0428,0147,0223
0429,0429,0047,0002
0430,0430,0264,0237
0431,0431,0031,0002
0432,0432,0265,0238
0433,0433,0266,0239
0434,0434,0113,0100
0435,0435,0267,0240
0436,0436,0047,0002
0437,0437,0228,0071
0438,0438,0213,0002
0439,0439,0213,0002
0440,0440,0213,0241
0441,0441,0186,0164
0442,0442,0268,0242
0443,0443,0269,0243
0444,0444,0270,0002
0445,0445,0271,0244
0446,0446,0147,0132
0447,0447,0272,0245
0448,0448,0273,0246
0449,0449,0274,0247
0450,0450,0275,0248
0451,0451,0147,0132
0452,0452,0276,0249
0453,0453,0120,0002
0454,0454,0216,0162
0455,0455,0277,0250
0456,0456,0079,0071
0457,0457,0278,0021
0458,0458,0279,0251
0459,0459,0280,0252
0460,0460,0236,0212
0461,0461,0281,0253
0462,0462,0076,0002
0463,0463,0282,0002
0464,0464,0201,0104
0465,0465,0283,0254
0466,0466,0284,0255
0467,0467,0285,0256
0468,0468,0228,0071
0469,0469,0286,0257
0470,0470,0047,0002
0471,0471,0287,0258
0472,0472,0288,0259
0473,0473,0289,0260
0474,0474,0241,0261
0475,0475,0290,0262
0476,0476,0291,0263
0477,0477,0099,0017
0478,0478,0292,0264
0479,0479,0074,0205
0480,0480,0079,0071
0481,0481,0189,0167
0482,0482,0197,0174
0483,0483,0293,0265
0484,0484,0261,0002
0485,0485,0197,0174
0486,0486,0109,0063
0487,0487,0076,0002
0488,0488,0294,0266
0489,0489,0031,0002
0490,0490,0295,0267
0491,0491,0031,0002
0492,0492,0296,0002
0493,0493,0297,0268
0494,0494,0213,0002
0495,0495,0298,0269
0496,0496,0299,0002
0497,0497,0186,0164
0498,0498,0186,0167
0499,0499,0189,0167
0500,0500,0300,0270
0501,0501,0301,0271
0502,0502,0074,0154
0503,0503,0271,0272
0504,0504,0302,0273
0505,0505,0281,0274
0506,0506,0147,0132
0507,0507,0303,0275
0508,0508,0304,0276
0509,0509,0305,0277
0510,0510,0209,0184
0511,0511,0306,0278
0512,0512,0254,0097
0513,0513,0307,0178
0514,0514,0079,0071
0515,0515,0047,0002
0516,0516,0074,0279
0517,0517,0074,0280
0518,0518,0228,0071
0519,0519,0308,0281
0520,0520,0309,0282
0521,0521,0310,0283
0522,0522,0047,0284
0523,0523,0070,0063
0524,0524,0047,0002
0525,0525,0311,0285
0526,0526,0228,0071
0527,0527,0185,0002
0528,0528,0297,0002
0529,0529,0077,0002
0530,0530,0077,0002
0531,0531,0213,0063
0532,0532,0312,0286
0533,0533,0185,0162
0534,0534,0186,0164
0535,0535,0313,0287
0536,0536,0079,0002
0537,0537,0093,0082
0538,0538,0314,0163
0539,0539,0315,0288
0540,0540,0316,0289
0541,0541,0317,0290
0542,0542,0318,0291
0543,0543,0319,0292
0544,0544,0320,0293
0545,0545,0046,0083
0546,0546,0321,0294
0547,0547,0147,0295
0548,0548,0147,0223
0549,0549,0110,0002
0550,0550,0079,0002
0551,0551,0047,0002
0552,0552,0180,0296
0553,0553,0166,0002
0554,0554,0322,0297
0555,0555,0323,0298
0556,0556,0324,0299
0557,0557,0296,0002
0558,0558,0297,0002
0559,0559,0185,0162
0560,0560,0038,0300
0561,0561,0156,0141
0562,0562,0189,0167
0563,0563,0325,0301
0564,0564,0326,0302
0565,0565,0271,0244
0566,0566,0119,0105
0567,0567,0327,0303
0568,0568,0328,0304
0569,0569,0329,0305
0570,0570,0147,0223
0571,0571,0330,0306
0572,0572,0079,0071
0573,0573,0331,0307
0574,0574,0332,0308
0575,0575,0333,0309
0576,0576,0113,0100
0577,0577,0287,0258
0578,0578,0334,0310
0579,0579,0335,0311
0580,0580,0259,0312
0581,0581,0336,0313
0582,0582,0337,0314
0583,0583,0338,0315
0584,0584,0339,0316
0585,0585,0338,0315
0586,0586,0340,0317
0587,0587,0341,0318
0588,0588,0163,0148
0589,0589,0023,0022
0590,0590,0189,0167
0591,0591,0342,0319
0592,0592,0343,0320
0593,0593,0079,0071
0594,0594,0344,0321
0595,0595,0118,0104
0596,0596,0345,0002
0597,0597,0076,0002
0598,0598,0076,0002
0599,0599,0018,0017
0600,0600,0346,0322
0601,0601,0347,0323
0602,0602,0348,0324
0603,0603,0349,0325
0604,0604,0228,0071
0605,0605,0296,0002
0606,0606,0350,0326
0607,0607,0077,0002
0608,0608,0189,0164
0609,0609,0189,0167
0610,0610,0351,0327
0611,0611,0325,0301
0612,0612,0352,0075
0613,0613,0126,0002
0614,0614,0197,0174
0615,0615,0353,0328
0616,0616,0354,0329
0617,0617,0355,0137
0618,0618,0356,0330
0619,0619,0357,0331
0620,0620,0358,0109
0621,0621,0359,0332
0622,0622,0360,0333
0623,0623,0047,0002
0624,0624,0361,0002
0625,0625,0362,0163
0626,0626,0183,0162
0627,0627,0363,0334
0628,0628,0364,0335
0629,0629,0365,0336
0630,0630,0077,0002
0631,0631,0085,0075
0632,0632,0213,0002
0633,0633,0297,0002
0634,0634,0338,0315
0635,0635,0366,0337
0636,0636,0367,0002
0637,0637,0368,0338
0638,0638,0261,0002
0639,0639,0369,0339
0640,0640,0216,0162
0641,0641,0370,0340
0642,0642,0371,0136
0643,0643,0372,0083
0644,0644,0109,0063
0645,0645,0053,0341
0646,0646,0373,0002
0647,0647,0070,0063
0648,0648,0070,0063
0649,0649,0047,0002
0650,0650,0374,0342
0651,0651,0375,0343
0652,0652,0228,0071
0653,0653,0376,0344
0654,0654,0186,0164
0655,0655,0339,0345
0656,0656,0377,0123
0657,0657,0232,0039
0658,0658,0216,0162
0659,0659,0370,0340
0660,0660,0378,0346
0661,0661,0379,0347
0662,0662,0380,0348
0663,0663,0182,0160
0664,0664,0170,0152
0665,0665,0047,0002
0666,0666,0045,0349
0667,0667,0381,0350
0668,0668,0382,0351
0669,0669,0383,0352
0670,0670,0384,0108
0671,0671,0203,0178
0672,0672,0228,0071
0673,0673,0296,0002
0674,0674,0385,0002
0675,0675,0386,0353
0676,0676,0156,0141
0677,0677,0336,0313
0678,0678,0338,0315
0679,0679,0387,0354
0680,0680,0079,0002
0681,0681,0388,0355
0682,0682,0261,0002
0683,0683,0389,0356
0684,0684,0197,0174
0685,0685,0018,0211
0686,0686,0357,0331
0687,0687,0390,0357
0688,0688,0053,0002
0689,0689,0182,0160
0690,0690,0153,0139
0691,0691,0373,0002
0692,0692,0079,0002
0693,0693,0391,0358
0694,0694,0392,0359
